Treatment,Micronaire,UHML,Uniformity Index,Strength,Elongation,ShortFiberIndex
IQ,3.52,1.075,80.4,24.9,5.7,10.3
IQ,4.5,1.037,81.9,25.4,5.7,9.1
IQ,4.24,1.114,82.8,29,5.7,8.9
IQ,4.88,1.096,84.3,30.7,5.3,7.5
IQ,4.11,1.098,81.7,30.6,5.4,9.1
IQ,2.98,1.111,81.4,30.1,5.8,10.2
IQ,4.06,1.11,82.8,30.9,5.9,8
IQ,4.8,1.096,83.2,30.5,5.2,8.4
IQ,3.75,1.188,84.7,31.9,5.5,7.5
IQ,3.34,1.14,83.6,29.2,5.6,8.6
IQ,2.48,1.098,80.1,27,5.2,11
IQ,3.22,1.146,83.6,31.4,5.7,8.3
IQ,4.49,1.137,82.6,30.8,5.4,8.5
IQ,3.75,1.152,82,28.2,5.5,9.1
IQ,3.92,1.108,82.1,30.5,5.7,9.1
IQ,4.08,1.173,83.8,32.2,5.8,8
IQ,3.8,1.163,83.3,29.7,6.4,8.4
IQ,4.18,1.173,82.6,29.7,6.3,8.1
IQ,3.99,1.167,84.3,32.7,6.1,7.3
IQ,4.28,1.161,83.1,32.1,5.7,8.5
Control,4.32,1.127,83.2,28.1,6.1,8.7
Control,3.74,1.155,83.4,32,6.3,8.3
Control,2.7,1.187,82.1,31.3,5.5,8.5
Control,3.54,1.112,82.5,29.4,5.6,9.6
Control,3.71,1.131,84.1,28.8,6.1,7.8
Control,4.17,1.178,83.3,28.7,6.1,8.2
Control,2.92,1.114,81.5,28.6,6.5,9.8
Control,2.93,1.163,81.8,27.6,5.6,9.6
Control,3.37,1.088,80.2,27.9,5.4,9.6
Control,4.11,1.168,84.5,31.3,5.9,7.6
Control,3.87,1.146,83.8,31.3,5.9,8.2
Control,3.68,1.188,83.4,31.1,5.7,8.4
Control,4.83,1.123,83.3,30.4,5.9,7.6
Control,4.07,1.159,83.7,29.6,5.8,7.9
Control,4.29,1.122,82.8,30.5,5.9,8.6
Control,4.22,1.199,84.3,32,6.4,7.4
Control,3.99,1.195,83.9,29.1,6.2,7.8
Control,4.54,1.087,83,29.2,6,7.8
Control,3.43,1.152,84.3,30.2,5.6,8.4
